Name;Município;Data_Avist;Estado;Latitude;Longitude;Data_Revis;Status
Praia de Japaratinga;Japaratinga;2019-09-07;AL;"9° 5' 36.71"" S";"35° 15' 29.58"" W";2019-10-19;Oleada - Manchas
Praia do Carro Quebrado;Passo de Camaragibe;2019-09-18;AL;"9° 20' 30.08"" S";"35° 26' 55.32"" W";2019-10-14;Oleada - Manchas
Porto de Galinhas;Ipojuca;2019-09-02;PE;"8° 30' 26.10"" S";"35° 0' 0.659"" W";2019-10-19;Oleada - Manchas
Ilha Cocaia;Cabo de Santo Agostinho;2019-09-02;PE;"8° 21' 34.57"" S";"34° 57' 29.98"" W";;Oleada - Manchas
Praia do Gunga;Roteiro;2019-09-22;AL;"9° 54' 11.14"" S";"35° 56' 19.57"" W";2019-10-16;Oleada - Manchas
Travosa;Santo Amaro do Maranhão;2019-09-25;MA;"2° 24' 26.77"" S";"43° 8' 5.709"" W";2019-09-28;Oleada - Manchas
Atalaia Nova;Barra dos Coqueiros;2019-09-02;SE;"10° 57' 7.999"" S";"37° 1' 45.99"" W";2019-10-18;Oleada - Manchas
Sítio do Conde;Conde;2019-10-04;BA;"11° 51' 10.63"" S";"37° 33' 50.37"" W";2019-10-13;Oleada - Manchas
Jandaíra;Jandaíra;2019-10-04;BA;"11° 31' 42.78"" S";"37° 24' 5.665"" W";2019-10-05;Oleada - Manchas
Lagoa do Pau;Coruripe;2019-09-27;AL;"10° 7' 47.04"" S";"36° 6' 36.04"" W";2019-10-07;Oleada - Manchas
Mamucabo;Esplanada;2019-10-07;BA;"12° 9' 46.82"" S";"37° 43' 27.08"" W";2019-10-08;Oleada - Manchas
Santo Antônio;Mata de São João;2019-10-01;BA;"12° 27' 34.92"" S";"37° 55' 56.26"" W";2019-10-15;Oleada - Manchas
Porto de Sauípe;Entre Rios;2019-10-09;BA;"12° 23' 32.26"" S";"37° 52' 53.72"" W";2019-10-14;Oleada - Manchas
Mangue;Estância;2019-10-12;SE;"11° 6' 45.99"" S";"37° 10' 1.629"" W";2019-10-15;Oleada - Manchas
Barra do Santo Antonio;Barra do Santo Antonio;2019-10-13;AL;"9° 25' 52.88"" S";"35° 30' 31.53"" W";2019-10-15;Oleada - Manchas
Ilha da Croa;Barra do Santo Antonio;2019-10-13;AL;"9° 22' 55.57"" S";"35° 29' 28.36"" W";2019-10-13;Oleada - Manchas
Praia de Japaratinga;Japaratinga;2019-10-16;AL;"9° 4' 56.00"" S";"35° 14' 54.65"" W";2019-10-19;Oleada - Manchas
Praia de Japaratinga;Japaratinga;2019-10-16;AL;"9° 4' 5.685"" S";"35° 14' 13.10"" W";2019-10-19;Oleada - Manchas
Barra Grande;Maragogi;2019-10-16;AL;"8° 54' 59.00"" S";"35° 9' 9.770"" W";2019-10-18;Oleada - Manchas
Pedra do Sal;Salvador;2019-10-16;BA;"12° 57' 8.521"" S";"38° 20' 46.58"" W";2019-10-19;Oleada - Manchas
Ponta das Ilhotas;Tamandaré;2019-10-18;PE;"8° 47' 10.92"" S";"35° 6' 13.58"" W";2019-10-18;Oleada - Manchas
Ilha de Santo Aleixo;Sirinhaém;2019-10-19;PE;"8° 36' 44.49"" S";"35° 1' 27.34"" W";;Oleada - Manchas
Ponta do Mangue;Maragogi;2019-10-16;AL;"8° 57' 47.14"" S";"35° 10' 29.91"" W";;Oleada - Manchas
Carneiros;Tamandaré;2019-09-03;PE;"8° 42' 11.83"" S";"35° 4' 46.89"" W";2019-10-19;Oleada - Manchas
Praia do Paiva;Cabo de Santo Agostinho;2019-09-04;PE;"8° 15' 36.16"" S";"34° 56' 41.26"" W";;Oleada - Vestígios/Esparsos
Praia de Dell Chifre;Olinda;2019-09-02;PE;"8° 1' 36.74"" S";"34° 51' 30.98"" W";;Oleada - Vestígios/Esparsos
Praia de Gamboa;Ipojuca;2019-09-02;PE;"8° 28' 31.00"" S";"34° 59' 41.93"" W";;Oleada - Vestígios/Esparsos
Candeias;Jaboatão dos Guararapes;2019-09-03;PE;"8° 11' 46.37"" S";"34° 55' 7.219"" W";;Oleada - Vestígios/Esparsos
Praia da Prainha;Aquiraz;2019-09-10;CE;"3° 54' 7.249"" S";"38° 20' 41.79"" W";2019-10-09;Oleada - Vestígios/Esparsos
